subject,screen,type,order,time_1,time_2,choice_1,choice_2,p1,p2,p3,q1,q2,q3,up1,up2,up3,order1,order2,order3
804021,12,decoy,22,5875,16122,competitor,target,129.87012987013017,228.08130670593567,129.87012987013017,136.36363636363623,217.7139745829394,118.57707509881416,0.9524,1.0476,1.0952,competitor,target,decoy
804021,13,2menu,20,4581,NA,competitor,NA,220.00000000000028,129.87012987013017,NA,230.99999999999932,136.36363636363623,NA,0.9524,0.9524,NA,target,competitor,NA
804021,14,2menu,8,3910,NA,target,NA,212.20502766762016,122.4006153836726,NA,245.0968069561011,141.37271076814173,NA,0.8658,0.8658,NA,target,competitor,NA
804021,15,2menu,16,3778,NA,target,NA,220.00000000000028,122.4006153836726,NA,230.99999999999932,141.37271076814173,NA,0.9524,0.8658,NA,competitor,target,NA
804021,16,2menu,6,2999,NA,target,NA,212.20502766762016,129.87012987013017,NA,245.0968069561011,136.36363636363623,NA,0.8658,0.9524,NA,competitor,target,NA
804021,17,2menu,9,2464,NA,target,NA,220.00000000000028,137.79547251144095,NA,230.99999999999932,131.5320419427396,NA,0.9524,1.0476,NA,competitor,target,NA
804021,18,2menu,14,2628,NA,target,NA,228.08130670593567,129.87012987013017,NA,217.7139745829394,136.36363636363623,NA,1.0476,0.9524,NA,competitor,target,NA
804021,19,similarity,37,4200,NA,competitor,NA,124.2236024844716,230.00000000000009,253.1508786180531,130.43478260869554,241.5000000000007,265.80842254895464,0.9524,0.9524,0.9524,competitor,target,decoy
804021,20,similarity,7,4216,5303,decoy,competitor,230.00000000000009,124.2236024844716,112.86324079694955,241.5000000000007,130.43478260869554,118.50640283679654,0.9524,0.9524,0.9524,competitor,decoy,target
804021,21,similarity,11,3535,NA,target,NA,116.85038835572236,230.00000000000009,253.1508786180531,134.96219855085957,241.5000000000007,265.80842254895464,0.8658,0.9524,0.9524,target,decoy,competitor
804021,22,similarity,35,2390,NA,decoy,NA,230.00000000000009,116.85038835572236,106.19374898863302,241.5000000000007,134.96219855085957,122.65378008187136,0.9524,0.8658,0.8658,competitor,decoy,target
804021,23,similarity,5,5952,11103,decoy,target,222.28446425829887,124.2236024844716,112.86324079694955,256.73855621833593,130.43478260869554,118.50640283679654,0.8658,0.9524,0.9524,target,decoy,competitor
804021,24,similarity,33,4098,NA,competitor,NA,124.2236024844716,222.28446425829887,244.59091256686088,130.43478260869554,256.73855621833593,282.5025040147248,0.9524,0.8658,0.8658,competitor,target,decoy
804021,25,similarity,4,5144,13600,decoy,target,116.85038835572236,222.28446425829887,244.59091256686088,134.96219855085957,256.73855621833593,282.5025040147248,0.8658,0.8658,0.8658,competitor,decoy,target
804021,26,similarity,41,1894,NA,decoy,NA,222.28446425829887,116.85038835572236,106.19374898863302,256.73855621833593,134.96219855085957,122.65378008187136,0.8658,0.8658,0.8658,competitor,decoy,target
804021,27,similarity,13,4909,NA,target,NA,230.00000000000009,132.0620635615056,119.94833210776936,241.5000000000007,126.05924249052865,114.49613519377988,0.9524,1.0476,1.0476,target,decoy,competitor
804021,28,similarity,18,4527,NA,competitor,NA,132.0620635615056,230.00000000000009,253.1508786180531,126.05924249052865,241.5000000000007,265.80842254895464,1.0476,0.9524,0.9524,competitor,target,decoy
804021,29,similarity,15,3599,NA,competitor,NA,124.2236024844716,237.98334344468265,262.0175777044897,130.43478260869554,227.16591874265225,250.10768780883117,0.9524,1.0476,1.0476,competitor,decoy,target
804021,30,similarity,24,3009,10504,target,decoy,237.98334344468265,124.2236024844716,112.86324079694955,227.16591874265225,130.43478260869554,118.50640283679654,1.0476,0.9524,0.9524,target,decoy,competitor
804021,31,compromise,29,7348,NA,target,NA,209.99999999999991,136.0544217687074,324.13500000000005,220.5,142.8571428571428,340.341750000001,0.9524,0.9524,0.9524,decoy,target,competitor
804021,32,compromise,39,2724,9588,competitor,decoy,136.0544217687074,209.99999999999991,88.14669372770133,142.8571428571428,220.5,92.55402841408666,0.9524,0.9524,0.9524,target,decoy,competitor
804021,33,compromise,40,2879,8279,target,competitor,209.99999999999991,128.49160158353055,324.13500000000005,220.5,148.40779982897715,340.341750000001,0.9524,0.8658,0.9524,target,decoy,competitor
804021,34,compromise,34,3082,9177,competitor,decoy,128.49160158353055,209.99999999999991,81.67421269441888,148.40779982897715,220.5,94.33371566205408,0.8658,0.9524,0.8658,target,decoy,competitor
804021,35,compromise,31,3714,4177,competitor,decoy,136.0544217687074,202.14570955550528,88.14669372770133,142.8571428571428,233.4782945366074,92.55402841408666,0.9524,0.8658,0.9524,competitor,target,decoy
804021,36,compromise,25,6195,NA,target,NA,202.14570955550528,136.0544217687074,318.01991249314847,233.4782945366074,142.8571428571428,367.31299892958776,0.8658,0.9524,0.8658,competitor,decoy,target
