"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw","Chain"
"165",-230.917,-2.26659,1.76946,1.06097,0.875012,5.74343,0.735122,0.958017,1,0,0,1,165,1,1
"166",-212.825,-3.80661,1.71534,1.03154,0.807152,5.44587,0.776697,0.958573,1,0,0,1,166,1,1
"167",-266.844,-0.566911,1.78334,1.04396,0.720861,5.65262,0.762501,0.995323,1,0,0,1,167,1,1
"168",-231.942,-3.13732,1.74917,1.07281,0.822939,5.5703,0.756018,0.937955,1,0,0,1,168,1,1
"169",-214.3,-1.21728,1.83927,1.02738,0.820832,5.54733,0.754885,0.96281,1,0,0,1,169,1,1
"170",-236.118,-3.11637,1.80366,1.10453,0.740879,5.45366,0.734976,0.954785,1,0,0,1,170,1,1
"171",-213.416,-1.64093,1.8607,1.04264,0.844317,5.67275,0.756934,0.980615,1,0,0,1,171,1,1
"172",-215.046,-2.75932,1.79344,0.992455,0.736381,5.37587,0.780918,0.999951,1,0,0,1,172,1,1
"173",-229.937,-2.06499,1.72399,1.01415,0.809397,5.64936,0.756862,0.972667,1,0,0,1,173,1,1
"174",-218.644,-3.46637,1.84314,0.966325,0.874598,5.58148,0.76282,1.00368,1,0,0,1,174,1,1
"175",-220.361,-5.4155,1.78244,0.940724,0.828879,5.3254,0.757193,0.965974,1,0,0,1,175,1,1
"176",-331.644,-4.83832,1.79733,1.10611,0.709701,5.84454,0.742912,1.03753,1,0,0,1,176,1,1
"177",-231.839,-2.14024,1.79581,1.04607,0.764356,5.44059,0.724148,1.01322,1,0,0,1,177,1,1
"178",-230.325,-2.88889,1.87326,1.04658,0.722683,5.74168,0.738236,0.959336,1,0,0,1,178,1,1
"179",-250.854,-4.12078,1.81459,1.10814,0.705695,5.41404,0.775947,0.954541,1,0,0,1,179,1,1
"180",-213.238,-1.32132,1.78873,0.994459,0.811033,5.62272,0.774004,0.963718,1,0,0,1,180,1,1
"181",-231.411,-4.49381,1.8903,1.0692,0.802065,5.89706,0.730411,0.990846,1,0,0,1,181,1,1
"182",-232.984,-1.47199,1.83029,1.07068,0.7986,5.83508,0.743716,0.988228,1,0,0,1,182,1,1
"183",-230.764,-1.06952,1.7584,1.00802,0.772907,5.57184,0.765496,0.998703,1,0,0,1,183,1,1
"184",-267.634,-2.52179,1.82414,1.06598,0.67878,5.65755,0.788303,0.975889,1,0,0,1,184,1,1
"185",-272.511,-2.2701,1.74995,1.0072,0.742842,5.81642,0.728655,0.970388,1,0,0,1,185,1,1
"186",-267.58,-1.58509,1.74509,1.0684,0.815791,5.68563,0.739483,0.976236,1,0,0,1,186,1,1
