"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"200","gamma[41]",5.124367925,5.04504,0.957725309002585,0.926943759,3.6921715,6.804512,0.999682513027746,1855.91602545027,1925.50641196862
"201","gamma[42]",5.720083635,5.637005,0.934744158752489,0.896802501,4.2936585,7.365961,0.999730329542303,1948.27492513973,1922.39429412326
"202","gamma[43]",4.75496216,4.68419,0.834185677314141,0.81639369,3.4987835,6.2682855,1.00044462360232,1917.69931827474,1776.38781217932
"203","gamma[44]",4.633051535,4.5523,0.858612748878132,0.83974464,3.315874,6.1403635,1.00028793588625,1908.83538247662,2044.21162482085
"204","gamma[45]",1.6189146705,1.563615,0.401020406668081,0.365794485,1.070953,2.391423,1.00223689686427,2059.94692502442,1761.3198382606
"205","gamma[46]",3.69879471,3.63584,0.735476187457333,0.711877803,2.597977,4.981025,0.999558988596269,1975.76758310505,1746.32000862289
"206","gamma[47]",3.561975215,3.493395,0.714683894396123,0.690469059,2.5070535,4.8444105,0.999634516829067,1970.22742174488,1960.38681098282
"207","gamma[48]",3.48796903,3.445225,0.689535259159219,0.674182698,2.4579185,4.6713815,0.999611381316683,2054.69225832726,1960.80838298342
"208","beta[1]",1.1570673995,1.14079,0.21348026954165,0.205162188,0.84587665,1.5344495,1.00140146914692,1968.67077499497,2000.90806488267
"209","beta[2]",1.325035622,1.313475,0.219187143250199,0.211352043,0.9854274,1.7110805,0.999888280116983,1862.71358156197,1800.32652636353
"210","beta[3]",1.286856014,1.276345,0.170829798582129,0.167941515,1.0352705,1.5902985,1.00079944155666,1858.35033585623,1921.17599996482
"211","beta[4]",1.0428774355,1.014035,0.241903325505002,0.2416704717,0.69786865,1.480422,0.99957915564545,2042.17228967233,1883.11399664497
"212","beta[5]",1.3178927515,1.3073,0.230589306712347,0.228587268,0.9626226,1.718541,0.999742161771985,1838.23253267431,1715.73153547298
"213","beta[6]",1.1995113005,1.185625,0.186086838014996,0.181351632,0.9271868,1.522166,0.999700386861027,1943.98432764256,1734.42985846331
"214","beta[7]",0.867119264,0.850843,0.200955296785463,0.1922620854,0.56752385,1.231807,1.00007958923774,1933.57313993781,1590.54265571398
"215","beta[8]",0.8101786585,0.8001275,0.148555492347214,0.1447492032,0.5970471,1.0626635,0.999683960372548,1848.43639058148,1883.11399664497
"216","beta[9]",1.312168357,1.29459,0.193308182637445,0.187467357,1.022368,1.655179,0.999586401507067,1991.88119030898,1722.53473828068
"217","beta[10]",1.150792419,1.127855,0.210475979227337,0.1966691139,0.8356779,1.524897,0.999516076068159,1776.56493985202,1725.45364187543
"218","beta[11]",1.354604392,1.344075,0.174883976454441,0.172300359,1.0768995,1.6553155,1.00103313891062,1997.83303122902,2024.55601079373
"219","beta[12]",1.315275713,1.302955,0.191665862249657,0.191841027,1.0260625,1.6497585,0.99951509544109,2102.73778018298,1922.39429412326
"220","beta[13]",1.117924987,1.09814,0.214354684393597,0.209839791,0.8018098,1.4985905,1.00272497705933,1787.19841785376,1836.74153670398
"221","beta[14]",0.98326116,0.964806,0.213370104276337,0.2068034262,0.67623375,1.362156,1.00087797227246,2215.20262809374,1882.13595394039
"222","beta[15]",1.1892274305,1.17487,0.176109063768509,0.172441206,0.92003825,1.490036,1.00119770992547,2096.05415999901,1793.96934959427
"223","beta[16]",1.0624209065,1.038965,0.251357882911059,0.2419818177,0.7079106,1.5191215,1.0004880859274,1986.52565231373,1844.24596948476
"224","beta[17]",1.073535827,1.05151,0.223341793527804,0.2154951687,0.75455905,1.4715785,1.00008108386918,1945.72274860292,1965.48501347367
