"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw","Chain"
"115",-1023.11,-2.42649,1.76941,0.993665,0.368246,2.67856,0.615639,0.975077,1.48374,1,0,1,115,1,1
"116",-1028.09,-4.42813,1.86974,0.968142,0.336833,2.68705,0.562864,1.0278,1.49123,1,0,1,116,1,1
"117",-1027.77,-4.39745,1.89,0.998724,0.345227,2.66027,0.546968,0.912745,1.46945,1,0,1,117,1,1
"118",-1024.93,-4.19899,1.80654,1.01215,0.322823,2.73716,0.597122,0.884541,1.43179,1,0,1,118,1,1
"119",-1024.82,-1.82248,1.8246,0.985244,0.374042,2.66325,0.555535,0.968822,1.4747,1,0,1,119,1,1
"120",-1027.67,-1.51378,1.83532,0.95585,0.368321,2.64343,0.594347,0.966014,1.48634,1,0,1,120,1,1
"121",-1034.61,-5.04977,1.82783,0.942828,0.347716,2.65392,0.645752,0.900974,1.42493,1,0,1,121,1,1
"122",-1027.73,-5.15009,1.77666,0.983422,0.285178,2.73678,0.571562,0.910501,1.49827,1,0,1,122,1,1
"123",-1027.85,-6.37547,1.76332,1.01454,0.409975,2.66596,0.626327,0.857055,1.4858,1,0,1,123,1,1
"124",-1022.91,-1.98402,1.81044,0.983085,0.298349,2.76007,0.590723,0.943616,1.48428,1,0,1,124,1,1
"125",-1025.31,-3.98939,1.82508,0.995117,0.456288,2.77453,0.620987,0.97316,1.43448,1,0,1,125,1,1
"126",-1025.95,-1.89064,1.84541,0.955791,0.327437,2.68318,0.597051,0.952156,1.49991,1,0,1,126,1,1
"127",-1024.43,-0.930779,1.855,0.978448,0.366562,2.74245,0.603179,0.920363,1.46528,1,0,1,127,1,1
"128",-1023.46,-2.06795,1.79384,0.996753,0.3546,2.78256,0.643315,0.970724,1.49773,1,0,1,128,1,1
"129",-1024.73,-1.93831,1.84679,1.01056,0.349729,2.69089,0.639981,1.0159,1.4694,1,0,1,129,1,1
"130",-1030.79,-2.41039,1.88728,0.98789,0.385142,2.64953,0.646941,0.949193,1.48217,1,0,1,130,1,1
"131",-1026.6,-3.17515,1.84907,0.954887,0.409824,2.79885,0.627936,0.907856,1.45545,1,0,1,131,1,1
"132",-1028.26,-1.31304,1.84963,0.955403,0.350935,2.67114,0.63227,0.966794,1.47298,1,0,1,132,1,1
"133",-1026.89,-4.04726,1.84816,1.00882,0.339056,2.55219,0.585394,1.00354,1.49483,1,0,1,133,1,1
"134",-1025.63,-4.04985,1.80881,0.982154,0.294534,2.75451,0.662274,1.00912,1.4985,1,0,1,134,1,1
"135",-1026.38,-1.5594,1.83959,0.995923,0.3849,2.65798,0.641504,0.999551,1.46105,1,0,1,135,1,1
"136",-1030.49,-5.91052,1.84436,1.02105,0.45134,2.60826,0.57458,0.939623,1.52604,1,0,1,136,1,1
"137",-1059.72,-5.26215,1.7834,1.02772,0.323682,2.84953,0.589716,1.00559,1.48275,1,0,1,137,1,1
"138",-1022.36,-2.72641,1.77425,0.978235,0.375313,2.78319,0.625839,0.968292,1.4621,1,0,1,138,1,1
"139",-1028.69,-2.32824,1.82664,0.97599,0.30875,2.58569,0.631119,0.931888,1.46852,1,0,1,139,1,1
"140",-1031.1,-4.16103,1.86268,0.951122,0.440042,2.71805,0.602129,0.974891,1.50925,1,0,1,140,1,1
"141",-1023.3,-0.184754,1.83953,0.99123,0.344083,2.70387,0.630454,0.950775,1.47862,1,0,1,141,1,1
"142",-1025.12,-1.05242,1.80972,0.972389,0.382612,2.67011,0.598001,0.924703,1.46586,1,0,1,142,1,1
"143",-1027.97,-4.58925,1.85833,0.965161,0.294424,2.76947,0.629596,0.877493,1.45361,1,0,1,143,1,1
"144",-1030.51,-5.54783,1.81367,0.970198,0.268544,2.60946,0.637814,0.88925,1.49348,1,0,1,144,1,1
"145",-1026.99,-4.16267,1.78502,0.962463,0.389071,2.66752,0.615696,1.02472,1.50003,1,0,1,145,1,1
"146",-1026.57,-7.13523,1.81093,1.05253,0.327171,2.6612,0.571649,0.869797,1.4334,1,0,1,146,1,1
"147",-1022.83,-1.39609,1.81411,1.0133,0.324484,2.67146,0.621574,0.974048,1.49455,1,0,1,147,1,1
"148",-1023.16,-2.75587,1.82832,1.00274,0.298904,2.74009,0.586863,1.00967,1.47197,1,0,1,148,1,1
"149",-1025.89,-2.84308,1.79471,0.990307,0.36694,2.58969,0.627605,1.00412,1.48224,1,0,1,149,1,1
"150",-1024.6,-2.56082,1.79812,0.972222,0.358339,2.81756,0.582218,0.936016,1.49337,1,0,1,150,1,1
"151",-1026.17,-4.78656,1.81698,1.07159,0.349695,2.66868,0.649088,0.922219,1.45317,1,0,1,151,1,1
"152",-1024.51,-3.33172,1.83554,0.994865,0.273488,2.66808,0.590398,0.928266,1.45555,1,0,1,152,1,1
"153",-1025.18,-3.55054,1.88105,1.02192,0.352978,2.69465,0.557892,0.965799,1.45907,1,0,1,153,1,1
"154",-1024.67,-1.83157,1.79071,0.958488,0.379487,2.71295,0.62108,0.938182,1.48895,1,0,1,154,1,1
"155",-1025.92,-3.47531,1.77648,1.00466,0.314419,2.66839,0.618291,0.91421,1.50423,1,0,1,155,1,1
"156",-1048.35,-2.19273,1.81007,1.02668,0.345548,2.79609,0.633241,0.918145,1.48934,1,0,1,156,1,1
"157",-1021.8,-1.33973,1.8125,1.02685,0.353106,2.67978,0.60238,0.979465,1.47752,1,0,1,157,1,1
"158",-1027.76,-4.04097,1.77649,1.00396,0.351557,2.75762,0.573701,1.01708,1.47022,1,0,1,158,1,1
"159",-1027.36,-4.08293,1.82516,1.01884,0.43357,2.65108,0.573756,0.893935,1.44893,1,0,1,159,1,1
"160",-1032.29,-5.40283,1.88227,1.00583,0.435479,2.7061,0.642778,0.878724,1.4434,1,0,1,160,1,1
"161",-1027.11,-1.20558,1.81679,0.966534,0.347959,2.62313,0.635085,0.951472,1.47693,1,0,1,161,1,1
"162",-1022.93,-1.22526,1.86824,0.998736,0.340661,2.76286,0.605907,0.959323,1.47761,1,0,1,162,1,1
"163",-1023.64,-4.19135,1.78276,0.949201,0.343856,2.77385,0.625114,0.964285,1.4382,1,0,1,163,1,1
"164",-1023.2,-2.16339,1.80751,1.01275,0.409069,2.70841,0.671754,0.952901,1.48522,1,0,1,164,1,1
"165",-1026.02,-4.17406,1.77144,0.969787,0.392077,2.83079,0.604958,0.915243,1.48567,1,0,1,165,1,1
"166",-1025.42,-1.59222,1.84395,0.985192,0.359324,2.70797,0.659489,1.00207,1.47967,1,0,1,166,1,1
"167",-1032.51,-5.81337,1.84816,0.995412,0.443896,2.59732,0.599451,1.04163,1.50335,1,0,1,167,1,1
"168",-1030.99,-5.58969,1.82928,1.02455,0.348902,2.67657,0.736306,0.990949,1.46452,1,0,1,168,1,1
"169",-1022.97,-1.9749,1.83204,1.01523,0.41157,2.75379,0.639609,0.901538,1.47413,1,0,1,169,1,1
"170",-1027.8,-3.51542,1.80535,0.970669,0.380415,2.69967,0.666274,0.934445,1.42915,1,0,1,170,1,1
"171",-1029.42,-5.68544,1.90138,0.979071,0.325013,2.75626,0.669923,0.988014,1.51115,1,0,1,171,1,1
"172",-1026.11,-2.75139,1.8682,0.989866,0.3837,2.74136,0.671478,0.941932,1.50603,1,0,1,172,1,1
