"id","menus","rep","rep2","t1","t2","c1","c2","d1","d2","drift1","drift2","drift3","speed","precision","treatment","f1","f2","f3","stay","alpha","bias_att","bias_sim","bias_comp","target_a","comp_a","dec_a","target_s","comp_s","dec_s","target_c","comp_c","dec_c"
182,1,1,182,1.5,1,1,1.5,1.5,0.85,3.23947011109139,2.21881304586975,1.90647424803886,3.58353898103043,0.767480413857944,3,0.163027740762403,-0.049062257857247,-0.113965482905156,1.6787058635,1.97060152,0.144867664953139,0.0728344083055601,0.138648924444468,0.547594712826662,0.259767281436989,0.192638005736349,0.444402201525094,0.281283928109409,0.274313870365496,0.313264641317314,0.172311613677729,0.514423745004957
183,1,1,183,1.5,1,1,1.5,1.5,0.85,2.79873942744213,2.88354331445829,2.06260010309958,3.31187268858313,0.632823749340986,3,0.0919138806049265,0.127815447905025,-0.219729328509951,0.548635557,1.97060152,0.191135982978681,0.0420861249392751,0.054722725839273,0.383345137957809,0.406571436311286,0.210083425730905,0.304920114501867,0.342917677036356,0.352162208461777,0.30014367529307,0.365709917828575,0.334146406878356
184,1,1,184,1.5,1,1,1.5,1.5,0.85,1.36591765681799,1.56334231026877,0.256792301913236,1.66137883742628,0.833147414578027,3,0.110971822911239,0.183063158300519,-0.294034981211758,1.246310144,1.97060152,0.257180321548328,0.0658167090221895,0.155305664163736,0.427003981474114,0.557143964132105,0.0158520543937807,0.213105245291643,0.387039485574386,0.399855269133971,0.305337977315581,0.585206153358396,0.109455869326023
185,1,1,185,1.5,1,1,1.5,1.5,0.85,2.46626156854518,2.69119309168223,0.949218349772597,2.92398293692005,0.751318585826249,3,0.116086974847791,0.176712430426636,-0.292799405274427,0.785453707,1.97060152,0.255377133398488,0.0914400439330708,0.21810509765415,0.427345984404324,0.507547513498625,0.0651065020970502,0.214965346242436,0.395206890418891,0.389827763338673,0.352574062671319,0.547955373332626,0.099470563996055
186,1,1,186,1.5,1,1,1.5,1.5,0.85,5.43697904496317,6.21644838499928,4.03658478003755,6.63135873202287,0.620418867073358,3,0.0478638244148411,0.228119353542838,-0.275983177957679,0.9046118685,1.97060152,0.255436978200139,0.131934991119996,0.252246503436938,0.349871124387264,0.455582365856489,0.194546509756247,0.254021516924414,0.366227941569123,0.379750541506463,0.303966179201546,0.482156679635834,0.21387714116262
187,1,1,187,1.5,1,1,1.5,1.5,0.85,2.56643883889128,2.85935675590025,1.01123314020846,3.19903237373363,0.788265802262549,3,0.0914386229353697,0.155094497657252,-0.246533120592621,0.712519927,1.97060152,0.21586327213888,0.0546468454470256,0.0741034487897458,0.417202127120245,0.516227904600789,0.0665699682789654,0.248913772861546,0.363833014597489,0.387253212540965,0.257982587192382,0.455617092825928,0.28640031998169
188,1,1,188,1.5,1,1,1.5,1.5,0.85,4.11030418763158,4.12920903470361,1.88675415766481,4.83393297599852,0.74823627416316,3,0.121158782143925,0.124275594226388,-0.245434376370313,0.541930191,1.97060152,0.212558117835105,0.0117264280107598,0.0728797317415621,0.449504565193144,0.453587762652259,0.0969076721545974,0.318846702621309,0.334794642448701,0.34635865492999,0.269087206833179,0.297570465716701,0.433342327450121
189,1,1,189,1.5,1,1,1.5,1.5,0.85,2.07348585084714,3.13443150753188,0.836854521620982,2.76197697247578,0.702969333161559,3,0.0202615607776722,0.387333296231661,-0.407594857009333,0.798413497,1.97060152,0.397851216332996,0.261891619085092,0.550873141743477,0.291983039855773,0.659169733510656,0.0488472266335714,0.0997812848510784,0.439923907403778,0.460294807745144,0.253574271692182,0.736993584946879,0.00943214336093923
190,1,1,190,1.5,1,1,1.5,1.5,0.85,2.64875226978709,2.97552621830563,1.39257550190728,3.41251533326638,0.766972107199498,3,0.0677196618334493,0.139149468679305,-0.206869130512754,0.6068061665,1.97060152,0.182679178331402,0.0569434410778559,0.0752559025668346,0.393803997493441,0.495267370301555,0.110928632205004,0.253377403770551,0.35923115644094,0.387391439788509,0.232368018035163,0.415869138905041,0.351762843059796
191,1,1,191,1.5,1,1,1.5,1.5,0.85,1.35212402968773,6.92253153214227,0,3.50654535227957,0.93394910827927,3,-0.0792920297635611,0.647906704154984,-0.25580746100562,2.0886444675,1.97060152,0.479005043186957,0.303753579784036,0.646194623437028,0.0384865827056866,0.961513417294313,0,0,0.463197051492222,0.536802948507778,0.0509283260219572,0.949071673978043,0
192,1,1,192,1.5,1,1,1.5,1.5,0.85,1.73267507457252,1.66852222127976,0.698083164147715,2.00888352987523,0.774547018823084,3,0.132560729851593,0.109341099591577,-0.24190182944317,0.7120326705,1.97060152,0.209814582723216,0.00617102173099734,0.0234272207202956,0.477311242826428,0.443111576342011,0.0795771808315615,0.324504383090849,0.334835616107331,0.34066000080182,0.305514645059642,0.327326562098312,0.367158792842046
193,1,1,193,1.5,1,1,1.5,1.5,0.85,2.53914906109063,3.17837569426703,1.12550708964234,3.11231277148215,0.698122075681387,3,0.0810011768353939,0.281583888693957,-0.362585065529351,1.1609860185,1.97060152,0.329635106417425,0.162295753644358,0.38388086294411,0.362607640459354,0.564422302668897,0.0729700568717488,0.177451382192593,0.408882169181989,0.413666448625418,0.317162898200201,0.628161650931915,0.0546754508678839
194,1,1,194,1.5,1,1,1.5,1.5,0.85,2.21718632320474,2.24015940651844,0.736123500276823,2.59822671234033,0.794680255163965,3,0.127422280225464,0.133445124869614,-0.260867405095078,0.928164334,1.97060152,0.225937869657084,0.0227456214973817,0.0373340439958732,0.468519769026345,0.478134163476272,0.0533460674973833,0.296135087522016,0.348193718217247,0.355671194260737,0.312422074817251,0.395540150741124,0.292037774441625
195,1,1,195,1.5,1,1,1.5,1.5,0.85,2.59021155797386,2.89063798242528,0.876358704600863,3.00358537531902,0.737707942468744,3,0.130010286816087,0.212912073872373,-0.34292236068846,0.7842930575,1.97060152,0.299858275972819,0.0833686129786897,0.274813577343591,0.423802819019987,0.526113796514137,0.0500833844658753,0.230937230365072,0.388802796719809,0.380259972915118,0.367447388117461,0.563610020033043,0.0689425918494959
196,1,1,196,1.5,1,1,1.5,1.5,0.85,2.61080498519828,2.62331684762437,2.06388597717735,3.00627122555292,0.593295802434737,3,0.114993699284846,0.12307060482688,-0.238064304111726,0.7869411705,1.97060152,0.206209283908203,0.0294530430563944,0.0414093351862293,0.378972115317183,0.382559371777014,0.238468512905803,0.319323558312156,0.338591197830736,0.342085243857108,0.322397333151465,0.353445112989144,0.324157553859391
