"treatment","I","gamma","m","lam","beta","stay","alpha"
2,2.44571805,4.4356965,1.1621878875,0.30362141125,1.1294014225,0.744301254,1.796280015
2,1.076522367,1.39553998,1.0207688645,0.34043808545,1.2283292655,0.813412741,1.796280015
2,2.833103275,5.124367925,0.9765636615,0.1582518067,1.18936884,1.169080266,1.796280015
2,2.491533525,5.720083635,1.0957885655,0.14421841241,1.118062946,0.645134934,1.796280015
2,2.69392391,4.75496216,0.9484389125,0.23701298825,1.0863115945,0.816223199,1.796280015
2,2.431257825,4.633051535,0.8790476435,0.20969590459,1.0734316535,0.818050861,1.796280015
2,0.783352795,1.6189146705,0.952597192,0.20109032043,1.1801892335,0.896843333,1.796280015
2,3.091963035,3.69879471,0.9203311895,0.2771147717,0.9840704675,0.785597882,1.796280015
2,0.7041581515,3.561975215,0.9272717775,0.2296514344,1.31679318,0.884610987,1.796280015
2,0.996288141,3.48796903,1.011641683,0.32151430605,1.3014027135,1.093277795,1.796280015
3,1.0234259675,3.12211629,0.86011041,0.36955109665,0.627029153,1.733767585,1.97060152
3,0.850955595,2.4655732505,1.0216022025,0.2167981692,0.827038487,1.373785378,1.97060152
3,0.963730668,2.2091723625,0.935006363,0.29438064435,0.8965611745,2.0747649845,1.97060152
3,3.63062911,3.604590164,0.7369900175,0.62032522695,1.308802947,0.373959635,1.97060152
3,2.083679635,2.342563542,1.0235372535,0.4867420345,0.665330595,0.9159189305,1.97060152
3,2.78229883,2.1252898915,0.9494692415,0.6582884465,0.5196585855,1.490214246,1.97060152
3,2.71040292,4.187224615,0.836296015,0.39688559125,0.640043925,0.619327206,1.97060152
3,1.53052161,2.676309604,0.937396467,0.3068950072,0.8096924335,1.6572063255,1.97060152
3,2.263548505,3.643932875,0.8565713765,0.3408831345,0.940758221,0.6153018,1.97060152
3,0.977606011,2.745494635,0.946394042,0.23215833485,0.70701729,0.662687784,1.97060152
3,1.1771165915,4.00113248,0.9209245095,0.26733227035,0.588507314,2.382711945,1.97060152
3,1.053163968,2.993040525,0.869426364,0.24378186075,0.9263282305,1.817223182,1.97060152
3,1.89723689,3.540182405,0.8487974425,0.2706273822,0.682320166,0.994461827,1.97060152
3,2.466964465,4.46436165,0.665070264,0.23295200035,0.718730883,1.223456643,1.97060152
3,1.371311755,2.436610325,1.210050212,0.3522878596,0.8281221255,1.7141262225,1.97060152
3,1.362928927,2.184718786,0.8089473105,0.3929459416,0.6577732275,1.4483570765,1.97060152
3,2.1276949,2.7039912395,0.941216229,0.652058356,0.6021141885,0.6792556985,1.97060152
3,2.412216305,3.266984965,1.023027566,0.2699376273,0.7899323895,1.032774582,1.97060152
3,0.976442608,1.5278595725,1.03739952,0.47611684805,0.6157432255,1.249029921,1.97060152
3,2.25946221,3.3895878625,0.9487833055,0.27370839,0.7172467655,1.0448540775,1.97060152
3,1.064488622,2.650429215,0.8280519135,0.27450622945,0.973490115,1.8237194795,1.97060152
3,1.001726916,1.6694318305,0.889184256,0.517221412,0.84769684,1.4523871255,1.97060152
3,4.61884449,4.18117241,0.9765264235,1.3658441345,0.22960333145,0.2920277735,1.97060152
3,1.0690247125,3.647984845,0.7659964555,0.208724952,0.759767712,1.554892488,1.97060152
3,0.825415903,1.535178074,0.889769432,0.50390887555,0.932597719,1.5844223775,1.97060152
3,0.961839727,2.0437535565,0.960363126,0.37593898935,0.688504664,1.616688185,1.97060152
3,2.36306174,3.84672995,1.341577136,0.4859301827,0.8671551935,3.02130125,1.97060152
3,0.854910354,3.415542745,0.8009364215,0.4508726485,0.535891604,1.684037651,1.97060152
3,1.965438835,2.6271326785,0.8911635465,0.2944861189,0.8539386485,0.8725330575,1.97060152
3,1.3280370465,2.376876283,0.8796712435,0.43972034945,0.5600199775,2.337792818,1.97060152
3,0.793906149,0.9326293495,0.8315667655,0.4466891836,0.864358383,1.3781344115,1.97060152
3,1.4463237915,5.81733393,1.332287395,0.8158349085,0.14723331185,0.879274234,1.97060152
3,1.949977995,2.267206949,0.987796205,0.34244467015,0.725023304,0.852076861,1.97060152
3,2.70401291,1.3836461565,0.863039223,0.54388846155,0.9820365285,0.4810734245,1.97060152
3,3.21527245,3.61143178,0.907932654,0.33545512255,0.661426364,1.024062823,1.97060152
3,2.95941741,3.579206985,0.98022531,0.27570083595,0.816138858,0.78941108,1.97060152
3,2.798074415,3.15656313,0.9626149455,0.817977128,0.5171102315,0.519583886,1.97060152
3,0.734585638,1.9996372285,0.975344899,0.3692386908,0.6974065505,1.278972799,1.97060152
3,1.41047342,1.6374877545,0.891776144,0.53990406205,0.7197474695,2.919575905,1.97060152
