"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"229","gamma[25]",4.149532375,4.06785,0.925635846458657,0.911539545,2.7993925,5.7839285,1.00040235723713,1845.65097066322,2000.08812338035
"230","gamma[26]",2.95432437,2.860235,0.746551428348904,0.686866341000001,1.92602,4.3046095,0.999746828175657,1818.60976135142,1748.13707233612
"231","gamma[27]",3.687906945,3.543575,1.0327588155968,1.001118237,2.2985105,5.5003885,0.999531042648314,1985.0751044761,2003.88489292958
"232","gamma[28]",3.04172121,2.907115,0.835903927392946,0.767883018,1.8982845,4.579288,1.00151996860666,1830.53639484979,1971.33495619657
"233","gamma[29]",4.65870896,4.523105,1.09547205229202,1.035388536,3.1416925,6.644575,1.00002057358821,2003.43462400482,1963.85746693519
"234","gamma[30]",4.01036088,3.91735,0.902904260451293,0.852672912,2.6965155,5.681736,0.999519109162189,2071.86307645629,1840.82653857022
"235","gamma[31]",4.367203825,4.297945,0.784294550610469,0.728015903999999,3.213205,5.795325,0.999789437980633,1873.23379377691,1626.09357659203
"236","gamma[32]",3.70251609,3.57849,0.954973270275709,0.886238976,2.308121,5.458607,1.00133832065184,1647.06424839578,1871.18660681763
"237","gamma[33]",2.31337371,2.263385,0.496087553214413,0.478220043,1.594481,3.2020385,1.00024132269565,1919.22617551098,1740.59125709543
"238","gamma[34]",3.87685088,3.742275,1.00635863690528,0.926765847,2.4796035,5.61899,0.999623237738869,2100.48773902716,1571.69972364793
"239","gamma[35]",2.934753055,2.810525,0.809843640903769,0.731618622,1.855383,4.452753,1.0010866159751,1567.4699119449,1810.44487190204
"240","gamma[36]",5.851687785,5.77051,0.970185891955773,0.952911498,4.39743,7.606522,0.999546320368978,2055.51745371698,1733.45655697579
"241","gamma[37]",4.477363185,4.393595,0.872641712958017,0.840396984000001,3.1951535,6.0179445,1.00098198796094,1939.00144899917,1938.40565206281
"242","gamma[38]",2.2497471775,2.144815,0.685498196278059,0.619252367999999,1.3188625,3.4929185,0.999526183886191,1818.81470017451,1768.16000551029
"243","gamma[39]",3.016947185,2.9323,0.719936857340423,0.677570439,1.987603,4.3118735,0.999782064333987,1993.26126645342,1980.83821098239
"244","gamma[40]",4.62742321,4.562165,0.836117292518951,0.827713341,3.3842945,6.100195,1.00090745347493,1937.34332599065,1962.56027287383
"245","gamma[41]",4.55157265,4.457405,0.939465367432978,0.898055298,3.1955515,6.291152,1.00016435446068,1576.89441016707,1813.04282552218
"246","gamma[42]",3.7629816,3.657045,0.834229314271883,0.7865193,2.555064,5.293005,0.999713639135907,1947.26299788452,1962.09111755608
"247","gamma[43]",2.0788919355,1.992295,0.640376527046618,0.616665231,1.195694,3.221928,1.00062931923489,1920.42812203273,1883.11399664497
"248","gamma[44]",2.928414175,2.736545,1.07466193252922,0.983912664,1.5501245,4.856219,1.00040237076221,2011.75932036302,1679.04901256749
"249","gamma[45]",1.8420524495,1.743985,0.626211566174524,0.55649391,1.0255625,2.9845125,1.00098555976509,1582.22342712335,1599.93790277597
"250","gamma[46]",3.0770314,3.016165,0.711754942867971,0.693701127,2.051429,4.35676,0.999614216113495,2027.37666022308,1659.83180790759
"251","gamma[47]",4.09700912,4.00173,0.852096227271716,0.810678267,2.867655,5.617068,1.00194072607798,2036.23524681253,2002.06925699566
"252","gamma[48]",4.79289921,4.687435,1.07162820938988,1.049006217,3.2414885,6.7280685,0.999644479517936,1880.50322743836,1982.38348575376
"253","gamma[49]",2.748809095,2.62595,0.79828688403477,0.747556572,1.6663025,4.187306,1.00085662817347,1830.70569891397,1975.08816801467
"254","gamma[50]",2.0296878775,1.90139,0.665001699544702,0.635427534,1.1511605,3.303291,0.999945568103713,2070.17570451023,1863.4963690419
"255","gamma[51]",2.388179022,2.292285,0.697422598403065,0.63833343,1.4317225,3.683973,1.00023944234661,1990.71354318952,1590.94875460049
"256","gamma[52]",2.7705960325,2.439155,1.44071624544118,1.113039711,1.142295,5.4681015,0.99979771646012,1931.69014379664,2044.54521645185
"257","gamma[53]",2.967439895,2.863455,0.808074305175447,0.765703596,1.851391,4.468056,1.0013051736565,1869.33472469501,1835.32386154381
"258","gamma[54]",5.26285308,5.180665,0.864614086701098,0.827023932,3.969765,6.8351085,0.999900350763255,1940.71987679288,1962.09111755608
"259","gamma[55]",4.34966318,4.290885,0.875848869672297,0.86198364,3.0559195,5.8700845,1.00084019357841,1959.79456516153,1905.81818247539
"260","gamma[56]",3.48381682,3.400015,0.838479326042024,0.794191755,2.268078,4.9356775,0.999653066416165,1800.97770232169,1931.92270732181
"261","gamma[57]",3.62216825,3.50497,0.909845524629803,0.876401925,2.3680805,5.275921,0.999586274857561,1923.77235737993,2006.56081192919
"262","gamma[58]",5.95783315,5.90048,1.01935764627366,0.967715259,4.412555,7.763665,1.00009915082218,2143.5350938053,1855.56362480998
"263","gamma[59]",2.074897445,2.03048,0.449674900885145,0.433082286,1.434107,2.8533085,0.999830291669255,2130.85389532241,2047.06098959464
"264","gamma[60]",4.930032535,4.86881,0.957407677778311,0.953600907,3.4838995,6.601115,0.999566188942799,2042.0961108879,1800.31347534611
"265","gamma[61]",2.920638355,2.7823,0.844067097269163,0.736081248,1.7987945,4.5313295,0.999953099188721,2107.29351079721,1959.70915056141
"266","gamma[62]",0.8647139365,0.7365385,0.534618722788189,0.4087127898,0.28098185,1.9149845,1.0007714274928,1821.81452520483,1774.09176065479
"267","gamma[63]",5.344805415,5.235435,1.30050739616319,1.287393471,3.434279,7.7478925,1.0000510841473,1981.48827559878,1551.37353504367
"268","beta[1]",0.7986431175,0.774189,0.198074116721563,0.1915897263,0.5251088,1.160013,1.00206637269359,1980.74360613272,2047.32872199687
"269","beta[2]",0.815204582,0.781673,0.256986188500435,0.2456490288,0.4674968,1.27453,1.00013784588222,2002.49530165235,1944.7157065446
"270","beta[3]",0.826249541,0.7897495,0.243568670198115,0.2264841999,0.4986,1.3018695,1.00037834327365,1970.47569892152,1962.8137738422
"271","beta[4]",0.686250881,0.6281925,0.291217868577827,0.251426721,0.32463895,1.2291055,1.00132159336755,1827.90408557667,1902.78547739585
"272","beta[5]",0.6596253125,0.628402,0.208621433089868,0.1910241144,0.3808807,1.0490275,1.00100095688911,2021.31306587574,1916.43250370122
"273","beta[6]",0.8889046805,0.868841,0.192756079327746,0.1822248834,0.60485515,1.2376045,1.00005155489043,1893.00468328475,1777.46926488352
"274","beta[7]",0.7578668215,0.6939235,0.317556855597514,0.2795753646,0.3546175,1.3438655,0.999514356673463,2090.10689460491,1955.26433933436
"275","beta[8]",0.6092253145,0.5919955,0.143426623537941,0.1320195996,0.40267725,0.8745187,1.00043970492521,1720.01363502914,1881.07295386721
