"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"158",-9438.32,-2.64343,1.30807,0.912093,0.830037,4.67605,0.881354,1.01463,1.45019,1,0,1,158,158
"159",-9440.23,-3.91798,1.30213,0.923045,0.825648,4.69809,0.874834,1.05053,1.43252,1,0,1,159,159
"160",-9460.65,-4.5893,1.3322,0.916765,0.858307,4.6405,0.880076,1.08448,1.42608,1,0,1,160,160
"161",-9447.35,-1.74362,1.31696,0.909511,0.86565,4.65062,0.885891,1.10565,1.44907,1,0,1,161,161
"162",-9436.46,-2.48555,1.30525,0.913825,0.877574,4.63932,0.881211,1.06805,1.46595,1,0,1,162,162
"163",-9442.6,-2.49084,1.31718,0.91336,0.862167,4.69516,0.884121,1.1238,1.46238,1,0,1,163,163
"164",-9438.28,-2.84772,1.32153,0.930426,0.864246,4.69699,0.876926,1.07861,1.46298,1,0,1,164,164
"165",-9441.91,-6.31683,1.31,0.894841,0.824461,4.57914,0.878018,0.994126,1.45857,1,0,1,165,165
"166",-9440.87,-1.3641,1.31051,0.920384,0.835276,4.7279,0.876896,1.08134,1.43992,1,0,1,166,166
"167",-9436.5,-2.66203,1.29047,0.90587,0.857072,4.63499,0.877602,1.06527,1.45023,1,0,1,167,167
"168",-9443.91,-3.98977,1.3076,0.911207,0.854619,4.7671,0.882798,1.02855,1.42925,1,0,1,168,168
"169",-9443.55,-1.26548,1.3119,0.914883,0.866477,4.57738,0.882859,1.08397,1.45231,1,0,1,169,169
"170",-9440.52,-1.09358,1.3077,0.913057,0.844713,4.70343,0.877347,1.06486,1.43781,1,0,1,170,170
"171",-9439.44,-1.22605,1.30514,0.898542,0.846212,4.67098,0.880878,1.09593,1.45965,1,0,1,171,171
"172",-9453.09,-3.95605,1.33554,0.909551,0.862751,4.74518,0.87767,1.07915,1.4375,1,0,1,172,172
"173",-9445.67,-4.0583,1.32208,0.911947,0.810069,4.59943,0.875048,1.11706,1.45107,1,0,1,173,173
"174",-9450.02,-5.62394,1.30561,0.873588,0.844871,4.56738,0.881327,1.05035,1.45444,1,0,1,174,174
"175",-9454.96,-3.56869,1.33171,0.893639,0.826778,4.67616,0.882724,1.087,1.44322,1,0,1,175,175
"176",-9442.02,-1.52732,1.30578,0.909126,0.847123,4.64801,0.883921,1.04211,1.44149,1,0,1,176,176
"177",-9437.28,-2.35675,1.3048,0.937127,0.838501,4.67716,0.878247,1.07551,1.45087,1,0,1,177,177
"178",-9441.7,-1.73995,1.29878,0.913653,0.848684,4.57153,0.881889,1.09654,1.44706,1,0,1,178,178
"179",-9438.08,-2.0753,1.31067,0.896133,0.837497,4.70832,0.87912,1.08538,1.46676,1,0,1,179,179
"180",-9444.89,-2.69986,1.32479,0.93411,0.840749,4.70943,0.879322,1.09985,1.44722,1,0,1,180,180
"181",-9438.2,-8.83886,1.29721,0.955926,0.859779,4.65844,0.875932,1.07228,1.46974,1,0,1,181,181
"182",-9442.74,-4.74782,1.32089,0.903856,0.833159,4.80742,0.88958,1.08194,1.46285,1,0,1,182,182
"183",-9447.24,-3.57358,1.33315,0.915144,0.871917,4.73627,0.875919,1.08541,1.44888,1,0,1,183,183
"184",-9443.57,-4.17681,1.32813,0.895745,0.838476,4.62087,0.873597,1.0463,1.45968,1,0,1,184,184
"185",-9458.23,-10.0246,1.31405,0.85798,0.833842,4.60222,0.881556,1.04338,1.45609,1,0,1,185,185
"186",-9441.42,-5.42258,1.30243,0.908104,0.822013,4.68166,0.870138,1.13137,1.45538,1,0,1,186,186
"187",-9444.65,-2.03115,1.31097,0.919301,0.861354,4.51985,0.881667,1.0696,1.44862,1,0,1,187,187
"188",-9440.45,-4.35712,1.29498,0.908821,0.875978,4.79977,0.878784,1.1215,1.44726,1,0,1,188,188
"189",-9441.41,-4.22947,1.3003,0.907093,0.889693,4.6207,0.880277,1.0302,1.44541,1,0,1,189,189
"190",-9444.22,-2.12287,1.30288,0.907232,0.847671,4.71767,0.885832,1.08769,1.43665,1,0,1,190,190
"191",-9444.26,-4.88308,1.32684,0.898142,0.841442,4.53447,0.874865,1.06966,1.46817,1,0,1,191,191
"192",-9452.8,-3.83955,1.31583,0.899387,0.872433,4.60599,0.875129,1.13169,1.44251,1,0,1,192,192
"193",-9448.11,-2.79228,1.32299,0.896289,0.86737,4.69712,0.879102,1.12164,1.45453,1,0,1,193,193
"194",-9439.2,-4.47298,1.2939,0.921993,0.854757,4.59574,0.879465,1.02424,1.43767,1,0,1,194,194
"195",-9442.96,-4.37495,1.31382,0.936664,0.851602,4.82201,0.877985,1.1211,1.45286,1,0,1,195,195
"196",-9442.38,-2.47744,1.30817,0.90283,0.859556,4.7734,0.880513,1.05058,1.43453,1,0,1,196,196
"197",-9450.32,-2.02584,1.32466,0.900626,0.843866,4.66604,0.878042,1.06818,1.43633,1,0,1,197,197
"198",-9439.82,-4.65891,1.29026,0.921035,0.811184,4.63913,0.881835,1.10569,1.44812,1,0,1,198,198
"199",-9441.81,-6.39817,1.28272,0.919645,0.860342,4.75149,0.879165,1.13144,1.44343,1,0,1,199,199
"200",-9436.47,-2.5302,1.31138,0.926754,0.834828,4.69754,0.885166,1.07022,1.46533,1,0,1,200,200
"201",-9442.22,-3.03078,1.31105,0.930273,0.822689,4.55694,0.883956,1.08383,1.45032,1,0,1,201,201
"202",-9440.78,-4.28695,1.30529,0.93725,0.844415,4.75441,0.873244,1.10725,1.45165,1,0,1,202,202
"203",-9439.79,-1.47884,1.30885,0.910764,0.875835,4.72543,0.880218,1.06085,1.44424,1,0,1,203,203
"204",-9446.88,-3.87736,1.30604,0.916258,0.818225,4.62668,0.882909,1.05647,1.42808,1,0,1,204,204
"205",-9434.55,-7.00367,1.29043,0.908754,0.861768,4.58891,0.870096,1.04362,1.46478,1,0,1,205,205
"206",-9437.23,-0.890115,1.30349,0.907417,0.864769,4.69934,0.878432,1.07834,1.45254,1,0,1,206,206
"207",-9445.1,-1.52652,1.32184,0.913784,0.853837,4.66055,0.884266,1.10878,1.45532,1,0,1,207,207
"208",-9443.74,-4.55813,1.31454,0.939926,0.866873,4.73234,0.883507,1.04528,1.43734,1,0,1,208,208
"209",-9443.94,-1.66698,1.30903,0.914999,0.868204,4.65276,0.881435,1.05614,1.43655,1,0,1,209,209
"210",-9436.14,-2.19839,1.30539,0.930516,0.835216,4.66671,0.883639,1.07375,1.46053,1,0,1,210,210
"211",-9447.63,-5.83697,1.33508,0.910581,0.824878,4.82549,0.883371,1.11524,1.46007,1,0,1,211,211
"212",-9440.86,-3.22558,1.30467,0.924603,0.812055,4.646,0.880416,1.11808,1.45206,1,0,1,212,212
"213",-9445.5,-1.6659,1.32527,0.904967,0.848706,4.68798,0.882008,1.10819,1.45691,1,0,1,213,213
"214",-9443.81,-2.61734,1.33209,0.91061,0.835396,4.65036,0.879502,1.0553,1.45871,1,0,1,214,214
"215",-9450.79,-3.42515,1.31973,0.885373,0.833687,4.72043,0.878659,1.07342,1.43682,1,0,1,215,215
"216",-9443.3,-5.87275,1.33227,0.920719,0.879323,4.63955,0.872719,1.05197,1.46269,1,0,1,216,216
"217",-9449.5,-4.83134,1.31082,0.904643,0.832316,4.51668,0.889705,1.04388,1.45266,1,0,1,217,217
"218",-9444.58,-2.40175,1.31706,0.898567,0.841042,4.66433,0.884404,1.11429,1.46288,1,0,1,218,218
"219",-9440.1,-0.877328,1.31967,0.91501,0.834645,4.63097,0.879913,1.07791,1.45783,1,0,1,219,219
"220",-9457.73,-6.72326,1.34368,0.904645,0.834005,4.57122,0.885669,1.05256,1.4569,1,0,1,220,220
"221",-9449.13,-2.19193,1.31297,0.897063,0.837714,4.53862,0.881358,1.10282,1.4492,1,0,1,221,221
